Gradient Profiler Text Data File: 4.24.140128_samp4.csv
Date: 2014-01-28
Time: 18:11:47

User: MK
Experiment name: 4.24.140128
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
0.00, 0.047976, 0, 0.000
0.00, 0.047242, , 
0.00, 0.045922, , 
0.00, 0.045486, , 
0.00, 0.045192, , 
0.00, 0.045240, , 
0.00, 0.045319, , 
0.00, 0.045176, , 
0.00, 0.045426, , 
0.00, 0.046318, , 
0.00, 0.047202, , 
0.00, 0.047734, , 
0.00, 0.048047, , 
0.00, 0.050343, , 
0.00, 0.055604, , 
0.00, 0.063185, , 
0.00, 0.070254, , 
0.00, 0.076126, , 
0.00, 0.078930, , 
0.00, 0.080587, , 
0.00, 0.081594, , 
0.00, 0.082074, , 
0.00, 0.082339, , 
0.00, 0.082518, , 
0.00, 0.082744, , 
0.00, 0.082934, , 
0.00, 0.082994, , 
0.00, 0.083196, , 
0.00, 0.083620, , 
0.00, 0.084726, , 
0.00, 0.087339, , 
0.00, 0.093168, , 
0.00, 0.107996, , 
0.00, 0.131956, , 
0.00, 0.171586, , 
0.00, 0.226222, , 
0.00, 0.290632, , 
0.00, 0.377726, , 
0.00, 0.456485, , 
0.00, 0.539780, , 
0.00, 0.626168, , 
0.00, 0.731389, , 
0.00, 0.820028, , 
0.00, 0.909096, , 
0.00, 0.999881, , 
0.00, 1.090444, , 
0.00, 1.199301, , 
0.00, 1.289471, , 
0.00, 1.380981, , 
0.00, 1.472503, , 
0.00, 1.562067, , 
0.00, 1.667835, , 
0.00, 1.753180, , 
0.00, 1.832799, , 
0.00, 1.901785, , 
0.00, 1.961592, , 
0.00, 1.992110, , 
0.00, 2.009853, , 
0.00, 2.019836, , 
0.00, 2.025268, , 
0.00, 2.028452, , 
0.00, 2.029733, , 
0.00, 2.030558, , 
0.00, 2.031137, , 
0.00, 2.031442, , 
0.00, 2.031565, , 
0.00, 2.031703, , 
0.00, 2.031902, , 
0.00, 2.032104, , 
0.00, 2.032155, , 
0.00, 2.032167, , 
0.00, 2.032227, , 
0.00, 2.032405, , 
0.00, 2.032536, , 
0.00, 2.032469, , 
0.00, 2.032362, , 
0.00, 2.032401, , 
0.00, 2.032584, , 
0.00, 2.032604, , 
0.00, 2.031961, , 
0.00, 2.031442, , 
0.00, 2.031434, , 
0.00, 2.031850, , 
0.00, 2.032255, , 
0.00, 2.032481, , 
0.00, 2.032552, , 
0.00, 2.032671, , 
0.00, 2.032826, , 
0.00, 2.032853, , 
0.00, 2.032810, , 
0.00, 2.032794, , 
0.00, 2.032877, , 
0.00, 2.032984, , 
0.00, 2.032956, , 
0.00, 2.032845, , 
0.00, 2.032833, , 
0.00, 2.032964, , 
0.00, 2.033071, , 
0.00, 2.032992, , 
0.00, 2.032818, , 
0.00, 2.032600, , 
0.00, 2.032596, , 
0.01, 2.032830, , 
0.03, 2.032893, , 
0.04, 2.032810, , 
0.06, 2.032631, , 
0.08, 2.032548, , 
0.09, 2.032659, , 
0.11, 2.032762, , 
0.13, 2.032814, , 
0.14, 2.032897, , 
0.16, 2.033012, , 
0.18, 2.033063, , 
0.19, 2.032988, , 
0.21, 2.032992, , 
0.23, 2.033127, , 
0.24, 2.033250, , 
0.26, 2.033190, , 
0.28, 2.032956, , 
0.29, 2.032937, , 
0.31, 2.033143, , 
0.33, 2.033301, , 
0.35, 2.033202, , 
0.36, 2.033036, , 
0.38, 2.032921, , 
0.39, 2.032992, , 
0.41, 2.033163, , 
0.43, 2.033171, , 
0.44, 2.033111, , 
0.46, 2.033131, , 
0.48, 2.033178, , 
0.49, 2.033174, , 
0.51, 2.032758, , 
0.53, 2.032068, , 
0.54, 2.031347, , 
0.56, 2.031208, , 
0.58, 2.031240, , 
0.59, 2.030966, , 
0.61, 2.030823, , 
0.63, 2.030907, , 
0.64, 2.031331, , 
0.66, 2.031945, , 
0.68, 2.032417, , 
0.69, 2.032699, , 
0.71, 2.033036, , 
0.73, 2.033274, , 
0.75, 2.033254, , 
0.76, 2.033127, , 
0.78, 2.033075, , 
0.79, 2.033151, , 
0.81, 2.033285, , 
0.83, 2.033262, , 
0.84, 2.033186, , 
0.86, 2.033167, , 
0.88, 2.033266, , 
0.89, 2.033297, , 
0.91, 2.033210, , 
0.93, 2.033182, , 
0.94, 2.033274, , 
0.96, 2.033337, , 
0.98, 2.033285, , 
0.99, 2.033111, , 
1.01, 2.033091, , 
1.03, 2.033234, , 
1.04, 2.033385, , 
1.06, 2.033171, , 
1.08, 2.032639, , 
1.09, 2.032453, , 
1.11, 2.032631, , 
