Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
1.86, 1.203844, , 
1.88, 1.196941, , 
1.89, 1.190082, , 
1.91, 1.183314, , 
1.93, 1.176435, , 
1.94, 1.167970, , 
1.96, 1.160773, , 
1.98, 1.153716, , 
1.99, 1.146793, , 
2.01, 1.139807, , 
2.03, 1.131263, , 
2.04, 1.124031, , 
2.06, 1.116890, , 
2.08, 1.109725, , 
2.09, 1.102239, , 
2.11, 1.092517, , 
2.13, 1.084671, , 
2.14, 1.077379, , 
2.16, 1.069949, , 
2.18, 1.060540, , 
2.19, 1.052515, , 
2.21, 1.044447, , 
2.23, 1.036247, , 
2.24, 1.027322, , 
2.26, 1.016220, , 
2.28, 1.007085, , 
2.29, 0.998228, , 
2.31, 0.989307, , 
2.33, 0.980076, , 
2.34, 0.968963, , 
2.36, 0.959720, , 
2.38, 0.950538, , 
2.39, 0.941406, , 
2.41, 0.932287, , 
2.43, 0.921360, , 
2.44, 0.912411, , 
2.46, 0.903589, , 
2.48, 0.894743, , 
2.49, 0.885898, , 
2.51, 0.875509, , 
2.53, 0.867120, , 
2.54, 0.859039, , 
2.56, 0.850951, , 
2.58, 0.841352, , 
2.59, 0.833775, , 
2.61, 0.826642, , 
2.63, 0.819636, , 
2.64, 0.812400, , 
2.66, 0.803800, , 
2.68, 0.797036, , 
2.69, 0.790561, , 
2.71, 0.784086, , 
2.73, 0.777429, , 
2.74, 0.769412, , 
2.76, 0.762878, , 
2.78, 0.756455, , 
2.79, 0.750091, , 
2.81, 0.744041, , 
2.83, 0.736975, , 
2.84, 0.731234, , 
2.86, 0.725608, , 
2.88, 0.719867, , 
2.90, 0.713217, , 
2.91, 0.707833, , 
2.93, 0.702627, , 
2.94, 0.697489, , 
2.96, 0.692318, , 
2.98, 0.686173, , 
2.99, 0.681296, , 
